experiment,run_id,sys_os,sys_cpu,sys_cores,sys_ram_gb,sys_python,n_actions,n_events,n_facts,n_playbooks,n_plans_per_playbook,n_branches_per_plan,n_stmts_per_branch,n_roles,n_phases,n_subplot_breadth,n_subplot_depth,seed,input_loc,input_bytes,output_files,output_loc_total,output_loc_per_file,loc_ratio,compile_time_s,io_time_s,peak_ram_mb,success,warning_count,error_count
interaction_full_game_case_study,0,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,14,31,10,10,4,1,2,3,3,1,1,42,433,8274,16,877,"{""playbook_playbook0.asl"": 44, ""playbook_playbook1.asl"": 44, ""playbook_playbook2.asl"": 44, ""playbook_playbook3.asl"": 44, ""playbook_playbook4.asl"": 44, ""playbook_playbook5.asl"": 44, ""playbook_playbook6.asl"": 44, ""playbook_playbook7.asl"": 44, ""playbook_playbook8.asl"": 44, ""playbook_playbook9.asl"": 44, ""director_mainplot.asl"": 177, ""director_subplot_l1_0.asl"": 129, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_subplot_l1_0_subrole.asl"": 29}",2.02540415704388,0.026679749000322772,0.0002631190000101924,0.7813863754272461,True,7,0
interaction_full_game_case_study,1,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,14,31,10,10,4,1,2,3,3,1,1,42,433,8274,16,877,"{""playbook_playbook0.asl"": 44, ""playbook_playbook1.asl"": 44, ""playbook_playbook2.asl"": 44, ""playbook_playbook3.asl"": 44, ""playbook_playbook4.asl"": 44, ""playbook_playbook5.asl"": 44, ""playbook_playbook6.asl"": 44, ""playbook_playbook7.asl"": 44, ""playbook_playbook8.asl"": 44, ""playbook_playbook9.asl"": 44, ""director_mainplot.asl"": 177, ""director_subplot_l1_0.asl"": 129, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_subplot_l1_0_subrole.asl"": 29}",2.02540415704388,0.018183284999395255,0.0002584389985713642,0.6836071014404297,True,7,0
interaction_full_game_case_study,2,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,14,31,10,10,4,1,2,3,3,1,1,42,433,8274,16,877,"{""playbook_playbook0.asl"": 44, ""playbook_playbook1.asl"": 44, ""playbook_playbook2.asl"": 44, ""playbook_playbook3.asl"": 44, ""playbook_playbook4.asl"": 44, ""playbook_playbook5.asl"": 44, ""playbook_playbook6.asl"": 44, ""playbook_playbook7.asl"": 44, ""playbook_playbook8.asl"": 44, ""playbook_playbook9.asl"": 44, ""director_mainplot.asl"": 177, ""director_subplot_l1_0.asl"": 129, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_subplot_l1_0_subrole.asl"": 29}",2.02540415704388,0.01913515200067195,0.00028002999897580594,0.6777706146240234,True,7,0
interaction_full_game_case_study,3,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,14,31,10,10,4,1,2,3,3,1,1,42,433,8274,16,877,"{""playbook_playbook0.asl"": 44, ""playbook_playbook1.asl"": 44, ""playbook_playbook2.asl"": 44, ""playbook_playbook3.asl"": 44, ""playbook_playbook4.asl"": 44, ""playbook_playbook5.asl"": 44, ""playbook_playbook6.asl"": 44, ""playbook_playbook7.asl"": 44, ""playbook_playbook8.asl"": 44, ""playbook_playbook9.asl"": 44, ""director_mainplot.asl"": 177, ""director_subplot_l1_0.asl"": 129, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_subplot_l1_0_subrole.asl"": 29}",2.02540415704388,0.019825540002784692,0.0002867399998649489,0.6752300262451172,True,7,0
interaction_full_game_case_study,4,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,14,31,10,10,4,1,2,3,3,1,1,42,433,8274,16,877,"{""playbook_playbook0.asl"": 44, ""playbook_playbook1.asl"": 44, ""playbook_playbook2.asl"": 44, ""playbook_playbook3.asl"": 44, ""playbook_playbook4.asl"": 44, ""playbook_playbook5.asl"": 44, ""playbook_playbook6.asl"": 44, ""playbook_playbook7.asl"": 44, ""playbook_playbook8.asl"": 44, ""playbook_playbook9.asl"": 44, ""director_mainplot.asl"": 177, ""director_subplot_l1_0.asl"": 129, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_subplot_l1_0_subrole.asl"": 29}",2.02540415704388,0.018683883998164674,0.00027030899946112186,0.6742076873779297,True,7,0
interaction_full_game_case_study,5,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,14,31,10,20,8,1,2,6,6,1,1,42,1284,25776,29,2238,"{""playbook_playbook0.asl"": 80, ""playbook_playbook1.asl"": 80, ""playbook_playbook10.asl"": 80, ""playbook_playbook11.asl"": 80, ""playbook_playbook12.asl"": 80, ""playbook_playbook13.asl"": 80, ""playbook_playbook14.asl"": 80, ""playbook_playbook15.asl"": 80, ""playbook_playbook16.asl"": 80, ""playbook_playbook17.asl"": 80, ""playbook_playbook18.asl"": 80, ""playbook_playbook19.asl"": 80, ""playbook_playbook2.asl"": 80, ""playbook_playbook3.asl"": 80, ""playbook_playbook4.asl"": 80, ""playbook_playbook5.asl"": 80, ""playbook_playbook6.asl"": 80, ""playbook_playbook7.asl"": 80, ""playbook_playbook8.asl"": 80, ""playbook_playbook9.asl"": 80, ""director_mainplot.asl"": 276, ""director_subplot_l1_0.asl"": 129, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34, ""role_mainplot_role5.asl"": 34, ""role_subplot_l1_0_subrole.asl"": 29}",1.7429906542056075,0.05949469000188401,0.00042539900096016936,2.28102970123291,True,14,0
interaction_full_game_case_study,6,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,14,31,10,20,8,1,2,6,6,1,1,42,1284,25776,29,2238,"{""playbook_playbook0.asl"": 80, ""playbook_playbook1.asl"": 80, ""playbook_playbook10.asl"": 80, ""playbook_playbook11.asl"": 80, ""playbook_playbook12.asl"": 80, ""playbook_playbook13.asl"": 80, ""playbook_playbook14.asl"": 80, ""playbook_playbook15.asl"": 80, ""playbook_playbook16.asl"": 80, ""playbook_playbook17.asl"": 80, ""playbook_playbook18.asl"": 80, ""playbook_playbook19.asl"": 80, ""playbook_playbook2.asl"": 80, ""playbook_playbook3.asl"": 80, ""playbook_playbook4.asl"": 80, ""playbook_playbook5.asl"": 80, ""playbook_playbook6.asl"": 80, ""playbook_playbook7.asl"": 80, ""playbook_playbook8.asl"": 80, ""playbook_playbook9.asl"": 80, ""director_mainplot.asl"": 276, ""director_subplot_l1_0.asl"": 129, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34, ""role_mainplot_role5.asl"": 34, ""role_subplot_l1_0_subrole.asl"": 29}",1.7429906542056075,0.05917559099907521,0.00041489900104352273,2.2797555923461914,True,14,0
interaction_full_game_case_study,7,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,14,31,10,20,8,1,2,6,6,1,1,42,1284,25776,29,2238,"{""playbook_playbook0.asl"": 80, ""playbook_playbook1.asl"": 80, ""playbook_playbook10.asl"": 80, ""playbook_playbook11.asl"": 80, ""playbook_playbook12.asl"": 80, ""playbook_playbook13.asl"": 80, ""playbook_playbook14.asl"": 80, ""playbook_playbook15.asl"": 80, ""playbook_playbook16.asl"": 80, ""playbook_playbook17.asl"": 80, ""playbook_playbook18.asl"": 80, ""playbook_playbook19.asl"": 80, ""playbook_playbook2.asl"": 80, ""playbook_playbook3.asl"": 80, ""playbook_playbook4.asl"": 80, ""playbook_playbook5.asl"": 80, ""playbook_playbook6.asl"": 80, ""playbook_playbook7.asl"": 80, ""playbook_playbook8.asl"": 80, ""playbook_playbook9.asl"": 80, ""director_mainplot.asl"": 276, ""director_subplot_l1_0.asl"": 129, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34, ""role_mainplot_role5.asl"": 34, ""role_subplot_l1_0_subrole.asl"": 29}",1.7429906542056075,0.05815712500043446,0.000423388002673164,2.2792444229125977,True,14,0
interaction_full_game_case_study,8,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,14,31,10,20,8,1,2,6,6,1,1,42,1284,25776,29,2238,"{""playbook_playbook0.asl"": 80, ""playbook_playbook1.asl"": 80, ""playbook_playbook10.asl"": 80, ""playbook_playbook11.asl"": 80, ""playbook_playbook12.asl"": 80, ""playbook_playbook13.asl"": 80, ""playbook_playbook14.asl"": 80, ""playbook_playbook15.asl"": 80, ""playbook_playbook16.asl"": 80, ""playbook_playbook17.asl"": 80, ""playbook_playbook18.asl"": 80, ""playbook_playbook19.asl"": 80, ""playbook_playbook2.asl"": 80, ""playbook_playbook3.asl"": 80, ""playbook_playbook4.asl"": 80, ""playbook_playbook5.asl"": 80, ""playbook_playbook6.asl"": 80, ""playbook_playbook7.asl"": 80, ""playbook_playbook8.asl"": 80, ""playbook_playbook9.asl"": 80, ""director_mainplot.asl"": 276, ""director_subplot_l1_0.asl"": 129, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34, ""role_mainplot_role5.asl"": 34, ""role_subplot_l1_0_subrole.asl"": 29}",1.7429906542056075,0.05880037200040533,0.0004156889990554191,2.279160499572754,True,14,0
interaction_full_game_case_study,9,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,14,31,10,20,8,1,2,6,6,1,1,42,1284,25776,29,2238,"{""playbook_playbook0.asl"": 80, ""playbook_playbook1.asl"": 80, ""playbook_playbook10.asl"": 80, ""playbook_playbook11.asl"": 80, ""playbook_playbook12.asl"": 80, ""playbook_playbook13.asl"": 80, ""playbook_playbook14.asl"": 80, ""playbook_playbook15.asl"": 80, ""playbook_playbook16.asl"": 80, ""playbook_playbook17.asl"": 80, ""playbook_playbook18.asl"": 80, ""playbook_playbook19.asl"": 80, ""playbook_playbook2.asl"": 80, ""playbook_playbook3.asl"": 80, ""playbook_playbook4.asl"": 80, ""playbook_playbook5.asl"": 80, ""playbook_playbook6.asl"": 80, ""playbook_playbook7.asl"": 80, ""playbook_playbook8.asl"": 80, ""playbook_playbook9.asl"": 80, ""director_mainplot.asl"": 276, ""director_subplot_l1_0.asl"": 129, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34, ""role_mainplot_role5.asl"": 34, ""role_subplot_l1_0_subrole.asl"": 29}",1.7429906542056075,0.05827480400330387,0.0004157190014666412,2.27907657623291,True,14,0
