experiment,run_id,sys_os,sys_cpu,sys_cores,sys_ram_gb,sys_python,n_actions,n_events,n_facts,n_playbooks,n_plans_per_playbook,n_branches_per_plan,n_stmts_per_branch,n_roles,n_phases,n_subplot_breadth,n_subplot_depth,seed,input_loc,input_bytes,output_files,output_loc_total,output_loc_per_file,loc_ratio,compile_time_s,io_time_s,peak_ram_mb,success,warning_count,error_count
interaction_playbook_complexity,0,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,1,1,1,2,2,2,0,0,42,97,1904,4,234,"{""playbook_playbook0.asl"": 17, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4123711340206184,0.0032475469997734763,8.011000318219885e-05,0.0923004150390625,True,19,0
interaction_playbook_complexity,1,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,1,1,1,2,2,2,0,0,42,97,1904,4,234,"{""playbook_playbook0.asl"": 17, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4123711340206184,0.002931309001724003,7.747000199742615e-05,0.0919036865234375,True,19,0
interaction_playbook_complexity,2,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,1,1,1,2,2,2,0,0,42,97,1904,4,234,"{""playbook_playbook0.asl"": 17, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4123711340206184,0.002922847997979261,0.00012597900058608502,0.0919036865234375,True,19,0
interaction_playbook_complexity,3,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,1,1,1,2,2,2,0,0,42,97,1904,4,234,"{""playbook_playbook0.asl"": 17, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4123711340206184,0.0029452079979819246,7.682999785174616e-05,0.0919036865234375,True,19,0
interaction_playbook_complexity,4,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,1,1,1,2,2,2,0,0,42,97,1904,4,234,"{""playbook_playbook0.asl"": 17, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4123711340206184,0.0028978890004509594,7.62290001148358e-05,0.0919036865234375,True,19,0
interaction_playbook_complexity,5,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,2,2,2,2,0,0,42,129,2515,5,289,"{""playbook_playbook0.asl"": 36, ""playbook_playbook1.asl"": 36, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.24031007751938,0.0045922210010758135,9.346899969386868e-05,0.1547374725341797,True,6,0
interaction_playbook_complexity,6,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,2,2,2,2,0,0,42,129,2515,5,289,"{""playbook_playbook0.asl"": 36, ""playbook_playbook1.asl"": 36, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.24031007751938,0.004850280998653034,9.372999920742586e-05,0.1547679901123047,True,6,0
interaction_playbook_complexity,7,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,2,2,2,2,0,0,42,129,2515,5,289,"{""playbook_playbook0.asl"": 36, ""playbook_playbook1.asl"": 36, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.24031007751938,0.004502891999436542,0.00010613999984343536,0.1547679901123047,True,6,0
interaction_playbook_complexity,8,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,2,2,2,2,0,0,42,129,2515,5,289,"{""playbook_playbook0.asl"": 36, ""playbook_playbook1.asl"": 36, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.24031007751938,0.004474612000194611,9.08699985302519e-05,0.1547679901123047,True,6,0
interaction_playbook_complexity,9,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,2,2,2,2,0,0,42,129,2515,5,289,"{""playbook_playbook0.asl"": 36, ""playbook_playbook1.asl"": 36, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.24031007751938,0.004493152002396528,8.994000017992221e-05,0.1547679901123047,True,6,0
