experiment,run_id,sys_os,sys_cpu,sys_cores,sys_ram_gb,sys_python,n_actions,n_events,n_facts,n_playbooks,n_plans_per_playbook,n_branches_per_plan,n_stmts_per_branch,n_roles,n_phases,n_subplot_breadth,n_subplot_depth,seed,input_loc,input_bytes,output_files,output_loc_total,output_loc_per_file,loc_ratio,compile_time_s,io_time_s,peak_ram_mb,success,warning_count,error_count
interaction_realistic_profile,0,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,5,5,5,1,1,2,2,5,3,0,0,42,135,3219,7,380,"{""playbook_playbook0.asl"": 22, ""director_mainplot.asl"": 188, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34}",2.814814814814815,0.00545768000120006,0.00012848000005760696,0.1584625244140625,True,4,0
interaction_realistic_profile,1,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,5,5,5,1,1,2,2,5,3,0,0,42,135,3219,7,380,"{""playbook_playbook0.asl"": 22, ""director_mainplot.asl"": 188, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34}",2.814814814814815,0.004920651999782422,0.00011859000005642883,0.157989501953125,True,4,0
interaction_realistic_profile,2,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,5,5,5,1,1,2,2,5,3,0,0,42,135,3219,7,380,"{""playbook_playbook0.asl"": 22, ""director_mainplot.asl"": 188, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34}",2.814814814814815,0.004766890999235329,0.0001204999989568023,0.157989501953125,True,4,0
interaction_realistic_profile,3,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,5,5,5,1,1,2,2,5,3,0,0,42,135,3219,7,380,"{""playbook_playbook0.asl"": 22, ""director_mainplot.asl"": 188, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34}",2.814814814814815,0.00476158099991153,0.00012042999878758565,0.157989501953125,True,4,0
interaction_realistic_profile,4,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,5,5,5,1,1,2,2,5,3,0,0,42,135,3219,7,380,"{""playbook_playbook0.asl"": 22, ""director_mainplot.asl"": 188, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34}",2.814814814814815,0.004758671000672621,0.00011613000060606282,0.157989501953125,True,4,0
interaction_realistic_profile,5,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,2,4,5,3,0,0,42,190,4257,8,446,"{""playbook_playbook0.asl"": 44, ""playbook_playbook1.asl"": 44, ""director_mainplot.asl"": 188, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34}",2.3473684210526318,0.007278187000338221,0.00012835999950766563,0.26007747650146484,True,6,0
interaction_realistic_profile,6,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,2,4,5,3,0,0,42,190,4257,8,446,"{""playbook_playbook0.asl"": 44, ""playbook_playbook1.asl"": 44, ""director_mainplot.asl"": 188, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34}",2.3473684210526318,0.007253207000758266,0.00012787999912688974,0.26007747650146484,True,6,0
interaction_realistic_profile,7,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,2,4,5,3,0,0,42,190,4257,8,446,"{""playbook_playbook0.asl"": 44, ""playbook_playbook1.asl"": 44, ""director_mainplot.asl"": 188, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34}",2.3473684210526318,0.007267476999913924,0.00013983999997435603,0.26007747650146484,True,6,0
interaction_realistic_profile,8,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,2,4,5,3,0,0,42,190,4257,8,446,"{""playbook_playbook0.asl"": 44, ""playbook_playbook1.asl"": 44, ""director_mainplot.asl"": 188, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34}",2.3473684210526318,0.00728735700067773,0.0001380200010316912,0.26007747650146484,True,6,0
interaction_realistic_profile,9,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,2,4,5,3,0,0,42,190,4257,8,446,"{""playbook_playbook0.asl"": 44, ""playbook_playbook1.asl"": 44, ""director_mainplot.asl"": 188, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34, ""role_mainplot_role2.asl"": 34, ""role_mainplot_role3.asl"": 34, ""role_mainplot_role4.asl"": 34}",2.3473684210526318,0.007276677000845666,0.000133530000312021,0.26007747650146484,True,6,0
