experiment,run_id,sys_os,sys_cpu,sys_cores,sys_ram_gb,sys_python,n_actions,n_events,n_facts,n_playbooks,n_plans_per_playbook,n_branches_per_plan,n_stmts_per_branch,n_roles,n_phases,n_subplot_breadth,n_subplot_depth,seed,input_loc,input_bytes,output_files,output_loc_total,output_loc_per_file,loc_ratio,compile_time_s,io_time_s,peak_ram_mb,success,warning_count,error_count
interaction_shape_narrative_heavy,0,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,1,1,0,0,42,98,1789,4,220,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 134, ""role_mainplot_role0.asl"": 34}",2.2448979591836733,0.008081284999207128,8.889999662642367e-05,0.18365097045898438,True,10,0
interaction_shape_narrative_heavy,1,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,1,1,0,0,42,98,1789,4,220,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 134, ""role_mainplot_role0.asl"": 34}",2.2448979591836733,0.0031903859999147244,8.48400013637729e-05,0.11165618896484375,True,10,0
interaction_shape_narrative_heavy,2,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,1,1,0,0,42,98,1789,4,220,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 134, ""role_mainplot_role0.asl"": 34}",2.2448979591836733,0.003156735998345539,7.990999802132137e-05,0.10828399658203125,True,10,0
interaction_shape_narrative_heavy,3,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,1,1,0,0,42,98,1789,4,220,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 134, ""role_mainplot_role0.asl"": 34}",2.2448979591836733,0.003155316000629682,7.842899867682718e-05,0.10700225830078125,True,10,0
interaction_shape_narrative_heavy,4,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,1,1,0,0,42,98,1789,4,220,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 134, ""role_mainplot_role0.asl"": 34}",2.2448979591836733,0.0031723360007163137,7.769900184939615e-05,0.10602569580078125,True,10,0
interaction_shape_narrative_heavy,5,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.004114142000616994,9.719000081531703e-05,0.13483905792236328,True,9,0
interaction_shape_narrative_heavy,6,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.003972442002122989,9.157000022241846e-05,0.13364124298095703,True,9,0
interaction_shape_narrative_heavy,7,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.003997612999228295,9.397000030730851e-05,0.13270282745361328,True,9,0
interaction_shape_narrative_heavy,8,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.00397756200254662,9.062900062417611e-05,0.13194751739501953,True,9,0
interaction_shape_narrative_heavy,9,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.003972532998886891,9.184000009554438e-05,0.13109302520751953,True,9,0
