experiment,run_id,sys_os,sys_cpu,sys_cores,sys_ram_gb,sys_python,n_actions,n_events,n_facts,n_playbooks,n_plans_per_playbook,n_branches_per_plan,n_stmts_per_branch,n_roles,n_phases,n_subplot_breadth,n_subplot_depth,seed,input_loc,input_bytes,output_files,output_loc_total,output_loc_per_file,loc_ratio,compile_time_s,io_time_s,peak_ram_mb,success,warning_count,error_count
scale_actions,0,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,1,10,5,2,2,1,2,2,2,0,0,42,108,2140,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.490740740740741,0.0035884159988199826,9.42089973250404e-05,0.11610126495361328,True,7,0
scale_actions,1,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,1,10,5,2,2,1,2,2,2,0,0,42,108,2140,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.490740740740741,0.0035467460002109874,9.151999984169379e-05,0.11602497100830078,True,7,0
scale_actions,2,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,1,10,5,2,2,1,2,2,2,0,0,42,108,2140,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.490740740740741,0.0035005260033358354,8.938000246416777e-05,0.11602497100830078,True,7,0
scale_actions,3,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,1,10,5,2,2,1,2,2,2,0,0,42,108,2140,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.490740740740741,0.003633094998804154,9.027899795910344e-05,0.11602497100830078,True,7,0
scale_actions,4,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,1,10,5,2,2,1,2,2,2,0,0,42,108,2140,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.490740740740741,0.0035014159984712023,9.012900045490824e-05,0.11602497100830078,True,7,0
scale_actions,5,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,5,10,5,2,2,1,2,2,2,0,0,42,112,2196,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4017857142857144,0.0037166049987717997,8.945000081439503e-05,0.12179279327392578,True,7,0
scale_actions,6,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,5,10,5,2,2,1,2,2,2,0,0,42,112,2196,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4017857142857144,0.0036591950010915753,9.878899800241925e-05,0.12179279327392578,True,7,0
scale_actions,7,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,5,10,5,2,2,1,2,2,2,0,0,42,112,2196,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4017857142857144,0.003688564996991772,0.00010064900197903626,0.12179279327392578,True,7,0
scale_actions,8,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,5,10,5,2,2,1,2,2,2,0,0,42,112,2196,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4017857142857144,0.003662215000076685,9.082999895326793e-05,0.12179279327392578,True,7,0
scale_actions,9,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,5,10,5,2,2,1,2,2,2,0,0,42,112,2196,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4017857142857144,0.003668024997750763,8.955999874160625e-05,0.12179279327392578,True,7,0
