experiment,run_id,sys_os,sys_cpu,sys_cores,sys_ram_gb,sys_python,n_actions,n_events,n_facts,n_playbooks,n_plans_per_playbook,n_branches_per_plan,n_stmts_per_branch,n_roles,n_phases,n_subplot_breadth,n_subplot_depth,seed,input_loc,input_bytes,output_files,output_loc_total,output_loc_per_file,loc_ratio,compile_time_s,io_time_s,peak_ram_mb,success,warning_count,error_count
scale_branches,0,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,0,2,2,2,0,0,42,105,2019,5,253,"{""playbook_playbook0.asl"": 18, ""playbook_playbook1.asl"": 18, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4095238095238094,0.0035198839996155584,9.56189996941248e-05,0.11011314392089844,True,13,0
scale_branches,1,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,0,2,2,2,0,0,42,105,2019,5,253,"{""playbook_playbook0.asl"": 18, ""playbook_playbook1.asl"": 18, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4095238095238094,0.0034389840002404526,9.546000001137145e-05,0.11000633239746094,True,13,0
scale_branches,2,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,0,2,2,2,0,0,42,105,2019,5,253,"{""playbook_playbook0.asl"": 18, ""playbook_playbook1.asl"": 18, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4095238095238094,0.003277714000432752,9.107000005315058e-05,0.11000633239746094,True,13,0
scale_branches,3,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,0,2,2,2,0,0,42,105,2019,5,253,"{""playbook_playbook0.asl"": 18, ""playbook_playbook1.asl"": 18, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4095238095238094,0.0033193839990417473,9.255000077246223e-05,0.11000633239746094,True,13,0
scale_branches,4,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,0,2,2,2,0,0,42,105,2019,5,253,"{""playbook_playbook0.asl"": 18, ""playbook_playbook1.asl"": 18, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4095238095238094,0.003242034999857424,9.116900037042797e-05,0.11000633239746094,True,13,0
scale_branches,5,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.0038300039996101987,9.578999924997333e-05,0.1289043426513672,True,9,0
scale_branches,6,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.0037613139993482037,0.00010148000001208857,0.1289348602294922,True,9,0
scale_branches,7,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.003754852999918512,8.893999984138645e-05,0.1289348602294922,True,9,0
scale_branches,8,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.0037730640015070094,9.022999984154012e-05,0.1289348602294922,True,9,0
scale_branches,9,Linux 7.2.3-arch1-2,x86_64,24,30.44,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.003771513000174309,8.997999975690618e-05,0.1289348602294922,True,9,0
