experiment,run_id,sys_os,sys_cpu,sys_cores,sys_ram_gb,sys_python,n_actions,n_events,n_facts,n_playbooks,n_plans_per_playbook,n_branches_per_plan,n_stmts_per_branch,n_roles,n_phases,n_subplot_breadth,n_subplot_depth,seed,input_loc,input_bytes,output_files,output_loc_total,output_loc_per_file,loc_ratio,compile_time_s,io_time_s,peak_ram_mb,success,warning_count,error_count
scale_events,0,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,1,5,2,2,1,2,2,2,0,0,42,108,2149,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.490740740740741,0.0035648459997901227,9.38989978749305e-05,0.11624717712402344,True,3,0
scale_events,1,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,1,5,2,2,1,2,2,2,0,0,42,108,2149,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.490740740740741,0.0035078959990642034,9.196900282404386e-05,0.11617088317871094,True,3,0
scale_events,2,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,1,5,2,2,1,2,2,2,0,0,42,108,2149,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.490740740740741,0.0034734959990601055,9.222900189342909e-05,0.11617088317871094,True,3,0
scale_events,3,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,1,5,2,2,1,2,2,2,0,0,42,108,2149,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.490740740740741,0.003427676001592772,9.078999937628396e-05,0.11617088317871094,True,3,0
scale_events,4,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,1,5,2,2,1,2,2,2,0,0,42,108,2149,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.490740740740741,0.0034850160009227693,9.005999891087413e-05,0.11617088317871094,True,3,0
scale_events,5,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,5,5,2,2,1,2,2,2,0,0,42,112,2201,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4017857142857144,0.003643544998340076,9.042999954544939e-05,0.12187385559082031,True,4,0
scale_events,6,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,5,5,2,2,1,2,2,2,0,0,42,112,2201,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4017857142857144,0.003641245999460807,8.849000005284324e-05,0.12187385559082031,True,4,0
scale_events,7,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,5,5,2,2,1,2,2,2,0,0,42,112,2201,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4017857142857144,0.0035947149990533944,8.967000030679628e-05,0.12187385559082031,True,4,0
scale_events,8,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,5,5,2,2,1,2,2,2,0,0,42,112,2201,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4017857142857144,0.0036272359975555446,8.854000043356791e-05,0.12187385559082031,True,4,0
scale_events,9,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,5,5,2,2,1,2,2,2,0,0,42,112,2201,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4017857142857144,0.0036207949997333344,9.060999946086667e-05,0.12187385559082031,True,4,0
