experiment,run_id,sys_os,sys_cpu,sys_cores,sys_ram_gb,sys_python,n_actions,n_events,n_facts,n_playbooks,n_plans_per_playbook,n_branches_per_plan,n_stmts_per_branch,n_roles,n_phases,n_subplot_breadth,n_subplot_depth,seed,input_loc,input_bytes,output_files,output_loc_total,output_loc_per_file,loc_ratio,compile_time_s,io_time_s,peak_ram_mb,success,warning_count,error_count
scale_facts,0,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,0,2,2,1,2,2,2,0,0,42,98,1944,5,242,"{""playbook_playbook0.asl"": 18, ""playbook_playbook1.asl"": 18, ""director_mainplot.asl"": 138, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4693877551020407,0.0030976589987403713,8.925000292947516e-05,0.10296821594238281,True,8,0
scale_facts,1,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,0,2,2,1,2,2,2,0,0,42,98,1944,5,242,"{""playbook_playbook0.asl"": 18, ""playbook_playbook1.asl"": 18, ""director_mainplot.asl"": 138, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4693877551020407,0.003027849001227878,8.77190032042563e-05,0.10286140441894531,True,8,0
scale_facts,2,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,0,2,2,1,2,2,2,0,0,42,98,1944,5,242,"{""playbook_playbook0.asl"": 18, ""playbook_playbook1.asl"": 18, ""director_mainplot.asl"": 138, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4693877551020407,0.002991739998833509,8.832999810692854e-05,0.10286140441894531,True,8,0
scale_facts,3,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,0,2,2,1,2,2,2,0,0,42,98,1944,5,242,"{""playbook_playbook0.asl"": 18, ""playbook_playbook1.asl"": 18, ""director_mainplot.asl"": 138, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4693877551020407,0.003015529000549577,9.761999899637885e-05,0.10286140441894531,True,8,0
scale_facts,4,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,0,2,2,1,2,2,2,0,0,42,98,1944,5,242,"{""playbook_playbook0.asl"": 18, ""playbook_playbook1.asl"": 18, ""director_mainplot.asl"": 138, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.4693877551020407,0.0029930900018371176,8.743899888941087e-05,0.10286140441894531,True,8,0
scale_facts,5,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,1,2,2,1,2,2,2,0,0,42,113,2219,5,258,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 138, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.2831858407079646,0.003613257002143655,8.851000166032463e-05,0.12320518493652344,True,8,0
scale_facts,6,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,1,2,2,1,2,2,2,0,0,42,113,2219,5,258,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 138, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.2831858407079646,0.003602578002755763,8.881900066626258e-05,0.12323570251464844,True,8,0
scale_facts,7,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,1,2,2,1,2,2,2,0,0,42,113,2219,5,258,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 138, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.2831858407079646,0.003610277002735529,8.97899990377482e-05,0.12323570251464844,True,8,0
scale_facts,8,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,1,2,2,1,2,2,2,0,0,42,113,2219,5,258,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 138, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.2831858407079646,0.0036013780008943286,8.736899690120481e-05,0.12323570251464844,True,8,0
scale_facts,9,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,1,2,2,1,2,2,2,0,0,42,113,2219,5,258,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 138, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.2831858407079646,0.0036101269979553763,8.788000195636414e-05,0.12323570251464844,True,8,0
