experiment,run_id,sys_os,sys_cpu,sys_cores,sys_ram_gb,sys_python,n_actions,n_events,n_facts,n_playbooks,n_plans_per_playbook,n_branches_per_plan,n_stmts_per_branch,n_roles,n_phases,n_subplot_breadth,n_subplot_depth,seed,input_loc,input_bytes,output_files,output_loc_total,output_loc_per_file,loc_ratio,compile_time_s,io_time_s,peak_ram_mb,success,warning_count,error_count
scale_stmts,0,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,1,1,2,2,0,0,42,113,2179,5,265,"{""playbook_playbook0.asl"": 24, ""playbook_playbook1.asl"": 24, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.3451327433628317,0.0039019099986035144,9.091900028579403e-05,0.12071037292480469,True,13,0
scale_stmts,1,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,1,1,2,2,0,0,42,113,2179,5,265,"{""playbook_playbook0.asl"": 24, ""playbook_playbook1.asl"": 24, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.3451327433628317,0.0036942209990229458,9.019900062412489e-05,0.12063407897949219,True,13,0
scale_stmts,2,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,1,1,2,2,0,0,42,113,2179,5,265,"{""playbook_playbook0.asl"": 24, ""playbook_playbook1.asl"": 24, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.3451327433628317,0.0036200610011292156,9.328000123787206e-05,0.12063407897949219,True,13,0
scale_stmts,3,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,1,1,2,2,0,0,42,113,2179,5,265,"{""playbook_playbook0.asl"": 24, ""playbook_playbook1.asl"": 24, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.3451327433628317,0.0036295810004958184,9.454999963054433e-05,0.12063407897949219,True,13,0
scale_stmts,4,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,1,1,2,2,0,0,42,113,2179,5,265,"{""playbook_playbook0.asl"": 24, ""playbook_playbook1.asl"": 24, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.3451327433628317,0.0036620399987441488,9.209000018017832e-05,0.12063407897949219,True,13,0
scale_stmts,5,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.0037884610010223696,8.881999929144513e-05,0.1289348602294922,True,9,0
scale_stmts,6,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.0037831910012755543,8.858000001055188e-05,0.1289348602294922,True,9,0
scale_stmts,7,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.0038076999990153126,9.633000081521459e-05,0.1289348602294922,True,9,0
scale_stmts,8,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.003814280000369763,9.677900015958585e-05,0.1289348602294922,True,9,0
scale_stmts,9,Linux 7.1.9-arch1-2,x86_64,24,30.45,3.14.7,10,10,5,2,2,1,2,2,2,0,0,42,117,2267,5,269,"{""playbook_playbook0.asl"": 26, ""playbook_playbook1.asl"": 26, ""director_mainplot.asl"": 149, ""role_mainplot_role0.asl"": 34, ""role_mainplot_role1.asl"": 34}",2.299145299145299,0.0038063400006649317,8.750000051804818e-05,0.1289348602294922,True,9,0
